-		s	{double[1000]}	double[]
		[199]	-5.8778525229247993	double
		[200]	-4.898425415289509E-14	double
		[201]	5.87785252292472	double
		[202]	9.5105651629515418	double
		[203]	9.5105651629515613	double
		[204]	5.8778525229248864	double
		[205]	1.567902708707325E-13	double
		[206]	-5.8778525229246332	double
		[207]	-9.51056516295151	double
		[208]	-9.51056516295155	double
		[209]	-5.8778525229247442	double
		[210]	1.9620806715470174E-14	double
		[211]	5.8778525229247753	double
		[212]	9.5105651629515631	double
		[213]	9.5105651629515844	double
		[214]	5.8778525229248313	double
		[215]	8.8185210002367231E-14	double
		[216]	-5.8778525229246883	double
		[217]	-9.5105651629515311	double
		[218]	-9.5105651629515311	double
		[219]	-5.8778525229246883	double
		[220]	-1.9599122672020464E-13	double
		[221]	5.8778525229246013	double
		[222]	9.5105651629514973	double
		[223]	9.5105651629515631	double
		[224]	5.8778525229247753	double
		[225]	1.9580149134001967E-14	double
		[226]	-5.8778525229247442	double
		[227]	-9.51056516295155	double
		[228]	-9.51056516295151	double
		[229]	-5.8778525229248633	double
		[230]	-1.2738616585183937E-13	double
		[231]	5.8778525229246572	double
		[232]	9.5105651629515187	double
		[233]	9.5105651629515418	double
		[234]	5.87785252292472	double
		[235]	-4.9024911734363297E-14	double
		[236]	-5.8778525229245693	double
		[237]	-9.5105651629514849	double
		[238]	-9.5105651629515755	double
		[239]	-5.8778525229248073	double
		[240]	-5.8781104983474108E-14	double
		[241]	5.8778525229247123	double
		[242]	9.51056516295154	double
		[243]	9.51056516295152	double
		[244]	5.8778525229246643	double
		[245]	1.6658712170131151E-13	double
		[246]	-5.8778525229246252	double
		[247]	-9.5105651629515062	double
		[248]	-9.5105651629515542	double
		[249]	-5.8778525229247522	double
		[250]	9.8239558848911557E-15	double
		[251]	5.8778525229247673	double
		[252]	9.5105651629514725	double
		[253]	9.5105651629515879	double
		[254]	5.8778525229248393	double
		[255]	9.7982060832946249E-14	double
		[256]	-5.87785252292468	double
		[257]	-9.5105651629515275	double
		[258]	-9.5105651629515329	double
		[259]	-5.8778525229246963	double
		[260]	7.842901675325642E-14	double
		[261]	5.8778525229245933	double
		[262]	9.5105651629514938	double
		[263]	9.5105651629515666	double
		[264]	5.8778525229247833	double
		[265]	2.9376999964580985E-14	double
		[266]	-5.8778525229247363	double
		[267]	-9.5105651629515489	double
		[268]	-9.5105651629516	double
		[269]	-5.8778525229248713	double
		[270]	-1.3718301668241839E-13	double
		[271]	5.8778525229246492	double
		[272]	9.5105651629515151	double
		[273]	9.5105651629515453	double
		[274]	5.8778525229247283	double
		[275]	-3.9228060903784279E-14	double
		[276]	-5.8778525229247913	double
		[277]	-9.5105651629514814	double
		[278]	-9.5105651629515791	double
		[279]	-5.8778525229248153	double
		[280]	-6.8577955814053126E-14	double
		[281]	5.8778525229247043	double
		[282]	9.5105651629515364	double
		[283]	9.510565162951524	double
		[284]	5.8778525229249023	double
		[285]	1.7638397253189053E-13	double
		[286]	-5.8778525229246172	double
		[287]	-9.5105651629515027	double
		[288]	-9.5105651629515577	double
		[289]	-5.87785252292476	double
		[290]	2.7105054312137611E-17	double
		[291]	5.87785252292476	double
		[292]	9.5105651629515577	double
		[293]	9.5105651629515915	double
		[294]	5.8778525229248473	double
		[295]	1.0777891166352527E-13	double
		[296]	-5.8778525229246723	double
		[297]	-9.510565162951524	double
		[298]	-9.5105651629515364	double
		[299]	-5.8778525229247043	double
		[300]	-2.1558492838136267E-13	double
		[301]	5.8778525229245853	double
		[302]	9.51056516295149	double
		[303]	9.51056516295157	double
		[304]	5.8778525229247913	double
		[305]	3.9173850795160003E-14	double
		[306]	-5.8778525229247283	double
		[307]	-9.5105651629515453	double
		[308]	-9.5105651629515151	double
		[309]	-5.8778525229248784	double
		[310]	-1.4697986751299741E-13	double
		[311]	5.8778525229246412	double
		[312]	9.5105651629515116	double
		[313]	9.5105651629515489	double
		[314]	5.8778525229247363	double
		[315]	-2.9431210073205261E-14	double
		[316]	-5.8778525229245533	double
		[317]	-9.51056516295148	double
		[318]	-9.5105651629515826	double
		[319]	-5.8778525229248233	double
		[320]	-7.8374806644632145E-14	double
		[321]	5.8778525229246963	double
		[322]	9.5105651629515329	double
		[323]	9.5105651629515275	double
		[324]	5.87785252292468	double
		[325]	1.8618082336246955E-13	double
		[326]	-5.8778525229246092	double
		[327]	-9.5105651629515	double
		[328]	-9.5105651629515613	double
		[329]	-5.8778525229247673	double
		[330]	-9.76974577626688E-15	double
		[331]	5.8778525229247522	double
		[332]	9.5105651629514671	double
		[333]	9.5105651629515933	double
		[334]	5.8778525229248553	double
		[335]	1.1757576249410429E-13	double
		[336]	-5.8778525229246643	double
		[337]	-9.51056516295152	double
		[338]	-9.51056516295154	double
		[339]	-5.8778525229247123	double
		[340]	5.8835315092098384E-14	double
		[341]	5.8778525229245773	double
		[342]	9.5105651629514885	double
		[343]	9.5105651629515719	double
		[344]	5.8778525229247993	double
		[345]	4.8970701625739022E-14	double
		[346]	-5.87785252292472	double
		[347]	-9.5105651629515418	double
		[348]	-9.5105651629516057	double
		[349]	-5.8778525229248864	double
		[350]	-1.5677671834357643E-13	double
		[351]	5.8778525229246332	double
		[352]	9.51056516295151	double
		[353]	9.51056516295155	double
		[354]	5.8778525229247442	double
		[355]	-1.9634359242626243E-14	double
		[356]	-5.8778525229247753	double
		[357]	-9.510565162951476	double
		[358]	-9.5105651629515844	double
		[359]	-5.8778525229248313	double
		[360]	-8.8171657475211163E-14	double
		[361]	5.8778525229246883	double
		[362]	9.5105651629515311	double
		[363]	9.5105651629515311	double
		[364]	5.8778525229249183	double
		[365]	1.9597767419304857E-13	double
		[366]	-5.8778525229246013	double
		[367]	-9.5105651629514973	double
		[368]	-9.5105651629515631	double
		[369]	-5.8778525229247753	double
		[370]	-1.95665966068459E-14	double
		[371]	5.8778525229247442	double
		[372]	9.51056516295155	double
		[373]	9.5105651629515968	double
		[374]	5.8778525229248633	double
		[375]	1.273726133246833E-13	double
		[376]	-5.8778525229246572	double
		[377]	-9.5105651629515187	double
		[378]	-9.5105651629515418	double
		[379]	-5.87785252292472	double
		[380]	-2.3517863004252071E-13	double
		[381]	5.8778525229245693	double
		[382]	9.5105651629514849	double
		[383]	9.5105651629515755	double
		[384]	5.8778525229248073	double
		[385]	5.876755245631804E-14	double
		[386]	-5.8778525229247123	double
		[387]	-9.51056516295154	double
		[388]	-9.51056516295152	double
		[389]	-5.8778525229248944	double
		[390]	-1.6657356917415545E-13	double
		[391]	5.8778525229246252	double
		[392]	9.5105651629515062	double
		[393]	9.5105651629515542	double
		[394]	5.8778525229247522	double
		[395]	-9.8375084120472245E-15	double
		[396]	-5.8778525229245382	double
		[397]	-9.5105651629514725	double
		[398]	-9.5105651629515879	double
		[399]	-5.8778525229248393	double
		[400]	-9.7968508305790181E-14	double
		[401]	5.87785252292468	double
		[402]	9.5105651629515275	double
		[403]	9.5105651629515329	double
		[404]	5.8778525229246963	double
		[405]	2.0577452502362759E-13	double
		[406]	-5.8778525229245933	double
		[407]	-9.5105651629514938	double
		[408]	-9.5105651629516537	double
		[409]	-5.8778525229247833	double
		[410]	-3.13580541741465E-13	double
		[411]	5.8778525229247363	double
		[412]	9.51056516295146	double
		[413]	9.5105651629515116	double
		[414]	5.87785252292487	double
		[415]	-1.4704763014877775E-13	double
		[416]	-5.8778525229246492	double
		[417]	-9.5105651629514281	double
		[418]	-9.5105651629515453	double
		[419]	-5.8778525229249583	double
		[420]	3.9241613430940347E-14	double
		[421]	5.8778525229245613	double
		[422]	9.51056516295157	double
		[423]	9.5105651629515791	double
		[424]	5.8778525229245853	double
		[425]	6.8564403286897058E-14	double
		[426]	-5.8778525229244742	double
		[427]	-9.5105651629515364	double
		[428]	-9.5105651629516128	double
		[429]	-5.8778525229246723	double
		[430]	-1.7637042000473446E-13	double
		[431]	5.8778525229248473	double
		[432]	9.5105651629515027	double
		[433]	9.5105651629516448	double
		[434]	5.87785252292476	double
		[435]	2.8417643672257187E-13	double
		[436]	-5.87785252292476	double
		[437]	-9.5105651629514689	double
		[438]	-9.5105651629515027	double
		[439]	-5.8778525229248473	double
		[440]	-3.9198245344040927E-13	double
		[441]	5.8778525229246723	double
		[442]	9.5105651629514369	double
		[443]	9.5105651629515364	double
		[444]	5.8778525229249343	double
		[445]	-6.864571844983347E-14	double
		[446]	-5.8778525229245853	double
		[447]	-9.5105651629515791	double
		[448]	-9.51056516295157	double
		[449]	-5.8778525229250214	double
		[450]	-3.9160298268003935E-14	double
		[451]	5.8778525229244982	double
		[452]	9.5105651629515453	double
		[453]	9.5105651629516021	double
		[454]	5.8778525229246492	double
		[455]	1.4696631498584134E-13	double
		[456]	-5.8778525229248713	double
		[457]	-9.5105651629515116	double
		[458]	-9.5105651629516359	double
		[459]	-5.8778525229247363	double
		[460]	-2.5477233170367874E-13	double
		[461]	5.8778525229247833	double
		[462]	9.51056516295148	double
		[463]	9.5105651629514938	double
		[464]	5.8778525229248233	double
		[465]	3.6257834842151615E-13	double
		[466]	-5.8778525229246963	double
		[467]	-9.5105651629514458	double
		[468]	-9.5105651629515275	double
		[469]	-5.87785252292491	double
		[470]	9.8049823468726593E-14	double
		[471]	5.8778525229246092	double
		[472]	9.5105651629514121	double
		[473]	9.5105651629515613	double
		[474]	5.8778525229249974	double
		[475]	9.7561932491108116E-15	double
		[476]	-5.8778525229245222	double
		[477]	-9.5105651629515542	double
		[478]	-9.5105651629515933	double
		[479]	-5.8778525229246252	double
		[480]	-1.1756220996694822E-13	double
		[481]	5.8778525229244352	double
		[482]	9.51056516295152	double
		[483]	9.510565162951627	double
		[484]	5.8778525229247123	double
		[485]	2.2536822668478562E-13	double
		[486]	-5.8778525229248073	double
		[487]	-9.5105651629514885	double
		[488]	-9.5105651629514849	double
		[489]	-5.8778525229247993	double
		[490]	-3.3317424340262303E-13	double
		[491]	5.87785252292472	double
		[492]	9.5105651629514547	double
		[493]	9.5105651629515187	double
		[494]	5.8778525229248864	double
		[495]	-1.2745392848761972E-13	double
		[496]	-5.8778525229246332	double
		[497]	-9.510565162951421	double
		[498]	-9.51056516295155	double
		[499]	-5.8778525229249743	double
		[500]	1.9647911769782311E-14	double
		[501]	5.8778525229245462	double
		[502]	9.5105651629515631	double
		[503]	9.5105651629515844	double
		[504]	5.8778525229250613	double
		[505]	8.81581049480551E-14	double
		[506]	-5.8778525229244583	double
		[507]	-9.5105651629515311	double
		[508]	-9.5105651629516181	double
		[509]	-5.8778525229246883	double
		[510]	-1.959641216658925E-13	double
		[511]	5.8778525229248313	double
		[512]	9.5105651629514973	double
		[513]	9.5105651629516519	double
		[514]	5.8778525229247753	double
		[515]	3.037701383837299E-13	double
		[516]	-5.8778525229247442	double
		[517]	-9.5105651629514636	double
		[518]	-9.51056516295151	double
		[519]	-5.8778525229248633	double
		[520]	1.5685803350651284E-13	double
		[521]	5.8778525229246572	double
		[522]	9.51056516295143	double
		[523]	9.5105651629515418	double
		[524]	5.87785252292495	double
		[525]	-4.9052016788675434E-14	double
		[526]	-5.8778525229245693	double
		[527]	-9.5105651629515719	double
		[528]	-9.5105651629515755	double
		[529]	-5.8778525229250373	double
		[530]	-5.8753999929161971E-14	double
		[531]	5.8778525229244822	double
		[532]	9.51056516295154	double
		[533]	9.51056516295161	double
		[534]	5.8778525229246643	double
		[535]	1.6656001664699938E-13	double
		[536]	-5.8778525229243952	double
		[537]	-9.5105651629515062	double
		[538]	-9.510565162951643	double
		[539]	-5.8778525229247522	double
		[540]	-2.7436603336483678E-13	double
		[541]	5.8778525229247682	double
		[542]	9.5105651629514725	double
		[543]	9.5105651629515	double
		[544]	5.8778525229248393	double
		[545]	3.8217205008267419E-13	double
		[546]	-5.87785252292468	double
		[547]	-9.5105651629514387	double
		[548]	-9.5105651629515329	double
		[549]	-5.8778525229249263	double
		[550]	7.8456121807568557E-14	double
		[551]	5.8778525229245933	double
		[552]	9.5105651629515826	double
		[553]	9.5105651629515666	double
		[554]	5.8778525229250134	double
		[555]	2.9349894910268848E-14	double
		[556]	-5.8778525229245062	double
		[557]	-9.5105651629515489	double
		[558]	-9.5105651629516	double
		[559]	-5.8778525229246412	double
		[560]	-1.3715591162810625E-13	double
		[561]	5.8778525229244192	double
		[562]	9.5105651629515151	double
		[563]	9.5105651629516323	double
		[564]	5.8778525229247283	double
		[565]	2.4496192834594366E-13	double
		[566]	-5.8778525229247913	double
		[567]	-9.5105651629514814	double
		[568]	-9.5105651629516661	double
		[569]	-5.8778525229248153	double
		[570]	-3.5276794506378106E-13	double
		[571]	5.8778525229247043	double
		[572]	9.51056516295145	double
		[573]	9.510565162951524	double
		[574]	5.8778525229249023	double
		[575]	-1.0786022682646168E-13	double
		[576]	-5.8778525229246172	double
		[577]	-9.5105651629514156	double
		[578]	-9.5105651629515577	double
		[579]	-5.8778525229249894	double
		[580]	5.4210108624275222E-17	double
		[581]	5.87785252292453	double
		[582]	9.5105651629515577	double
		[583]	9.5105651629515915	double
		[584]	5.8778525229246172	double
		[585]	1.0775180660921313E-13	double
		[586]	-5.8778525229244432	double
		[587]	-9.510565162951524	double
		[588]	-9.5105651629516235	double
		[589]	-5.8778525229247043	double
		[590]	-2.1555782332705054E-13	double
		[591]	5.8778525229248153	double
		[592]	9.51056516295149	double
		[593]	9.5105651629516572	double
		[594]	5.8778525229247913	double
		[595]	3.2336384004488794E-13	double
		[596]	-5.8778525229247283	double
		[597]	-9.5105651629514583	double
		[598]	-9.5105651629515151	double
		[599]	-5.8778525229248784	double
		[600]	-4.3116985676272535E-13	double
		[601]	5.8778525229246412	double
		[602]	9.5105651629514245	double
		[603]	9.5105651629515489	double
		[604]	5.8778525229249663	double
		[605]	-2.94583151275174E-14	double
		[606]	-5.8778525229245533	double
		[607]	-9.5105651629515666	double
		[608]	-9.5105651629515826	double
		[609]	-5.8778525229250533	double
		[610]	-7.8347701590320007E-14	double
		[611]	5.8778525229244662	double
		[612]	9.5105651629515329	double
		[613]	9.5105651629516146	double
		[614]	5.87785252292468	double
		[615]	1.8615371830815741E-13	double
		[616]	-5.8778525229248393	double
		[617]	-9.5105651629515	double
		[618]	-9.5105651629516483	double
		[619]	-5.8778525229247673	double
		[620]	-2.9395973502599482E-13	double
		[621]	5.8778525229247522	double
		[622]	9.5105651629514671	double
		[623]	9.5105651629515062	double
		[624]	5.8778525229248553	double
		[625]	4.0176575174383222E-13	double
		[626]	-5.8778525229246643	double
		[627]	-9.5105651629514334	double
		[628]	-9.51056516295154	double
		[629]	-5.8778525229249423	double
		[630]	5.8862420146410521E-14	double
		[631]	5.8778525229245773	double
		[632]	9.5105651629514	double
		[633]	9.5105651629515719	double
		[634]	5.8778525229250294	double
		[635]	4.8943596571426884E-14	double
		[636]	-5.87785252292449	double
		[637]	-9.5105651629515418	double
		[638]	-9.5105651629516057	double
		[639]	-5.8778525229246563	double
		[640]	-1.5674961328926429E-13	double
		[641]	5.8778525229244032	double
		[642]	9.51056516295151	double
		[643]	9.51056516295164	double
		[644]	5.8778525229247442	double
		[645]	2.6455563000710169E-13	double
		[646]	-5.8778525229247753	double
		[647]	-9.510565162951476	double
		[648]	-9.5105651629514973	double
		[649]	-5.8778525229248313	double
		[650]	-3.723616467249391E-13	double
		[651]	5.8778525229246883	double
		[652]	9.5105651629514423	double
		[653]	9.5105651629515311	double
		[654]	5.8778525229249183	double
		[655]	-8.8266525165303644E-14	double
		[656]	-5.8778525229246013	double
		[657]	-9.5105651629514085	double
		[658]	-9.5105651629515631	double
		[659]	-5.8778525229250054	double
		[660]	-1.9539491552533761E-14	double
		[661]	5.8778525229245142	double
		[662]	9.51056516295155	double
		[663]	9.5105651629515968	double
		[664]	5.8778525229250924	double
		[665]	1.2734550827037117E-13	double
		[666]	-5.8778525229244272	double
		[667]	-9.5105651629515187	double
		[668]	-9.51056516295163	double
		[669]	-5.87785252292472	double
		[670]	-2.3515152498820857E-13	double
		[671]	5.8778525229247993	double
		[672]	9.5105651629514849	double
		[673]	9.5105651629516643	double
		[674]	5.8778525229248073	double
		[675]	3.42957541706046E-13	double
		[676]	-5.8778525229247123	double
		[677]	-9.5105651629514512	double
		[678]	-9.51056516295152	double
		[679]	-5.8778525229248944	double
		[680]	1.1767063018419677E-13	double
		[681]	5.8778525229246252	double
		[682]	9.5105651629514174	double
		[683]	9.5105651629515542	double
		[684]	5.8778525229249814	double
		[685]	-9.8646134663593621E-15	double
		[686]	-5.8778525229245382	double
		[687]	-9.5105651629515613	double
		[688]	-9.5105651629515879	double
		[689]	-5.8778525229250693	double
		[690]	-9.7941403251478043E-14	double
		[691]	5.87785252292445	double
		[692]	9.5105651629515275	double
		[693]	9.5105651629516217	double
		[694]	5.8778525229246963	double
		[695]	2.0574741996931545E-13	double
		[696]	-5.8778525229243632	double
		[697]	-9.5105651629514938	double
		[698]	-9.5105651629516537	double
		[699]	-5.8778525229247833	double
		[700]	-3.1355343668715285E-13	double
		[701]	5.8778525229247363	double
		[702]	9.51056516295146	double
		[703]	9.5105651629515116	double
		[704]	5.87785252292487	double
		[705]	4.2135945340499026E-13	double
		[706]	-5.8778525229246492	double
		[707]	-9.5105651629514281	double
		[708]	-9.5105651629515453	double
		[709]	-5.8778525229249583	double
		[710]	3.9268718485252485E-14	double
		[711]	5.8778525229245613	double
		[712]	9.51056516295157	double
		[713]	9.5105651629515791	double
		[714]	5.8778525229250453	double
		[715]	6.853729823258492E-14	double
		[716]	-5.8778525229244742	double
		[717]	-9.5105651629515364	double
		[718]	-9.5105651629516128	double
		[719]	-5.8778525229246723	double
		[720]	-1.7634331495042233E-13	double
		[721]	5.8778525229243872	double
		[722]	9.5105651629515027	double
		[723]	9.5105651629516448	double
		[724]	5.8778525229247593	double
		[725]	2.8414933166825973E-13	double
		[726]	-5.87785252292476	double
		[727]	-9.5105651629514689	double
		[728]	-9.5105651629516785	double
		[729]	-5.8778525229248473	double
		[730]	-3.9195534838609714E-13	double
		[731]	5.8778525229246723	double
		[732]	9.5105651629514369	double
		[733]	9.5105651629515364	double
		[734]	5.8778525229249343	double
		[735]	-6.8672823504145608E-14	double
		[736]	-5.8778525229245853	double
		[737]	-9.5105651629514032	double
		[738]	-9.51056516295157	double
		[739]	-5.8778525229250214	double
		[740]	-3.91331932136918E-14	double
		[741]	5.8778525229244982	double
		[742]	9.5105651629515453	double
		[743]	9.5105651629516021	double
		[744]	5.8778525229246492	double
		[745]	1.469392099315292E-13	double
		[746]	-5.8778525229244112	double
		[747]	-9.5105651629515116	double
		[748]	-9.5105651629516359	double
		[749]	-5.8778525229247363	double
		[750]	-2.5474522664936661E-13	double
		[751]	5.8778525229247833	double
		[752]	9.51056516295148	double
		[753]	9.51056516295167	double
		[754]	5.8778525229248233	double
		[755]	3.62551243367204E-13	double
		[756]	-5.8778525229246963	double
		[757]	-9.5105651629514458	double
		[758]	-9.5105651629515275	double
		[759]	-5.87785252292491	double
		[760]	-4.7035726008504142E-13	double
		[761]	5.8778525229246092	double
		[762]	9.5105651629514121	double
		[763]	9.5105651629515613	double
		[764]	5.8778525229249974	double
		[765]	9.729088194798674E-15	double
		[766]	-5.8778525229245222	double
		[767]	-9.5105651629515542	double
		[768]	-9.5105651629515933	double
		[769]	-5.8778525229250844	double
		[770]	-1.1753510491263608E-13	double
		[771]	5.8778525229244352	double
		[772]	9.51056516295152	double
		[773]	9.510565162951627	double
		[774]	5.8778525229247123	double
		[775]	2.2534112163047348E-13	double
		[776]	-5.8778525229248073	double
		[777]	-9.5105651629514885	double
		[778]	-9.51056516295166	double
		[779]	-5.8778525229247993	double
		[780]	-3.3314713834831089E-13	double
		[781]	5.87785252292472	double
		[782]	9.5105651629514547	double
		[783]	9.5105651629515187	double
		[784]	5.8778525229248864	double
		[785]	4.4095315506614829E-13	double
		[786]	-5.8778525229246332	double
		[787]	-9.510565162951421	double
		[788]	-9.51056516295155	double
		[789]	-5.8778525229249743	double
		[790]	1.9675016824094449E-14	double
		[791]	5.8778525229245462	double
		[792]	9.5105651629513872	double
		[793]	9.5105651629515844	double
		[794]	5.8778525229250613	double
		[795]	8.8130999893742956E-14	double
		[796]	-5.8778525229244583	double
		[797]	-9.5105651629515311	double
		[798]	-9.5105651629516181	double
		[799]	-5.8778525229246883	double
		[800]	-1.9593701661158036E-13	double
		[801]	5.8778525229243712	double
		[802]	9.5105651629514973	double
		[803]	9.5105651629516519	double
		[804]	5.8778525229247753	double
		[805]	3.0374303332941777E-13	double
		[806]	-5.8778525229247442	double
		[807]	-9.5105651629514636	double
		[808]	-9.51056516295151	double
		[809]	-5.8778525229248633	double
		[810]	-4.1154905004725517E-13	double
		[811]	5.8778525229246572	double
		[812]	9.51056516295143	double
		[813]	9.5105651629515418	double
		[814]	5.87785252292495	double
		[815]	5.1935506676509258E-13	double
		[816]	-5.87785252292411	double
		[817]	-9.5105651629515719	double
		[818]	-9.5105651629515755	double
		[819]	-5.8778525229250373	double
		[820]	-6.2716108348293E-13	double
		[821]	5.8778525229249423	double
		[822]	9.51056516295154	double
		[823]	9.51056516295161	double
		[824]	5.8778525229251244	double
		[825]	7.3496710020076739E-13	double
